COMMODITY,TECHNOLOGY,Description,Sector,Fuel,Category 1,Category 2
,PWRHYD159NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD160SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD161NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD162CEN,Hydro Power plant in CEN,Power generation,Hydro,,
,PWRHYD163SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRSOL001NOR,Solar PV plant inNOR,Power generation,Solar,,
,PWRSOL002VTE,Solar PV plant inVTE,Power generation,Solar,,
,PWRSOL003NOR,Solar PV plant inNOR,Power generation,Solar,,
,PWRSOL004CEN,Solar PV plant inCEN,Power generation,Solar,,
,PWRSOL005VTE,Solar PV plant inVTE,Power generation,Solar,,
,PWRSOL006VTE,Solar PV plant inVTE,Power generation,Solar,,
,PWRSOL007VTE,Solar PV plant inVTE,Power generation,Solar,,
,PWRSOL008SOU,Solar PV plant inSOU,Power generation,Solar,,
,PWRSOL009CEN,Solar PV plant inCEN,Power generation,Solar,,
,PWRSOL010SOU,Solar PV plant inSOU,Power generation,Solar,,
,PWRSOL011NOR,Solar PV plant inNOR,Power generation,Solar,,
,PWRSOL012VTE,Solar PV plant inVTE,Power generation,Solar,,
,PWRTRNCEN,Transmission technology in  CEN,Power infrastructure,,Transmission,
,PWRTRNNOR,Transmission technology in  NOR,Power infrastructure,,Transmission,
,PWRTRNSOU,Transmission technology in  SOU,Power infrastructure,,Transmission,
,PWRTRNVTE,Transmission technology in  VTE,Power infrastructure,,Transmission,
,PWRWND001SOU,Wind Power plant in SOU,Power generation,Wind,,
,PWRWND002SOU,Wind Power plant in SOU,Power generation,Wind,,
,PWRWND003CEN,Wind Power plant in CEN,Power generation,Wind,,
,PWRWND004VTE,Wind Power plant in VTE,Power generation,Wind,,
,PWRWND005NOR,Wind Power plant in NOR,Power generation,Wind,,
,SOUH2DUMMY,SOU region ELC for H2 dummy technology,,,,
,SOUTRADUM,SOU dummy for Transport ELC,,,,
,TRABUSBKST,Bus Backstop,Transport,BACKSTOP,Passenger,Bus
,TRABUSDSLBIO,Diesel and Bio Diesel Busses,Transport,Diesel and Biodiesel,Passenger,Bus
,TRABUSELC,Electric Busses,Transport,Electric,Passenger,Bus
,TRABUSH2,H2 Fuel Cell Busses,Transport,H2,Passenger,Bus
,TRACARBKST,Cars backstop,Transport,BACKSTOP,Passenger,Car
,TRACARDSLBIO,Diesel cars With Blending option,Transport,Diesel and Biodiesel,Passenger,Car
,TRACARELC,Electric Cars,Transport,Electric,Passenger,Car
,TRACARGASBIO,Gasoline Cars With blending option,Transport,Gasoline,Passenger,Car
,TRACARGASHYB,Gasoline Hybrid cars,Transport,Hybrid,Passenger,Car
,TRACARH2,H2 Fuel Cell Cars,Transport,H2,Passenger,Car
,TRAEVC,Electricity charging infrastructure,Transport,BACKSTOP,Freight,Air
,TRAFAIRH2,Aviation Frieght on E fuels (H2),Transport,H2,Freight,Air
,TRAFAIRJETBIO,Aviation Frieght on JET/ABF,Transport,Jet fuel,Freight,Air
,TRAFRAIELC,Railway Freight Electric,Transport,Electric,Freight,Rail
,TRAHDVBKST,HDV backstop,Transport,BACKSTOP,Freight,HDV
,TRAHDVDSLBIO,HDV Diesel & Bio Diesel,Transport,Diesel and Biodiesel,Freight,HDV
,TRAHDVELC,HDV ELC Vehicles,Transport,Electric,Freight,HDV
,TRAHDVH2,HDV H2 Fuel Cell vehicles,Transport,H2,Freight,HDV
,TRALDVBKST,LDV backstop,Transport,BACKSTOP,Freight,LDV
,TRALDVDSLBIO,LDV Diesel & Bio Diesel,Transport,Diesel and Biodiesel,Freight,LDV
,TRALDVELC,LDV ELC Vehicles,Transport,Electric,Freight,LDV
,TRALDVH2,LDV H2 Fuel Cell vehicles,Transport,H2,Freight,LDV
,TRAMCYBKST,Motorcycles Backstop,Transport,BACKSTOP,Passenger,Motorcycle
,TRAMCYELC,Motorcycles Electric,Transport,Electric,Passenger,Motorcycle
,TRAMCYGAS,Motorcycles Gasoline,Transport,Gasoline,Passenger,Motorcycle
,TRAPAIRH2,Aviation Passenger on E fuels (H2),Transport,H2,Passenger,Air
,TRAPAIRJETBIO,Aviation Passenger on JET/ABF,Transport,Jet fuel,Passenger,Air
,TRAPRAIELC,Railway Passenger Electric,Transport,Electric,Passenger,Air
,UPSALK001,ALK electrolyzer,Hydrogen production,,Electrolyser,ALK
,UPSPEM001,PEM electrolyzer,Hydrogen production,,Electrolyser,PEM
,VENH2DUMMY,VTE region ELC for H2 dummy technology,,,,
,VTETRADUM,VTE dummy for Transport ELC,,,,
,VTETRNCEN,VTE to CEN Transmission,Power infrastructure,,Transmission,
